timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/08/27 15:32:34.350, 1, 0 %, 0 %, 35296 MiB, 37.01 W
2026/08/27 15:32:34.351, 2, 0 %, 0 %, 35296 MiB, 37.86 W
2026/08/27 15:32:39.352, 0, 98 %, 24 %, 35313 MiB, 140.68 W
2026/08/27 15:32:39.352, 1, 100 %, 21 %, 35300 MiB, 76.30 W
2026/08/27 15:32:39.352, 2, 100 %, 19 %, 35296 MiB, 95.13 W
2026/08/27 15:32:44.353, 0, 100 %, 21 %, 35313 MiB, 78.59 W
2026/08/27 15:32:44.353, 1, 100 %, 19 %, 35300 MiB, 196.59 W
2026/08/27 15:32:44.353, 2, 100 %, 18 %, 35296 MiB, 136.06 W
2026/08/27 15:32:49.355, 0, 100 %, 21 %, 35313 MiB, 131.81 W
2026/08/27 15:32:49.355, 1, 100 %, 22 %, 35300 MiB, 134.08 W
2026/08/27 15:32:49.355, 2, 100 %, 30 %, 35296 MiB, 92.81 W
2026/08/27 15:32:54.356, 0, 100 %, 17 %, 35313 MiB, 97.25 W
2026/08/27 15:32:54.356, 1, 100 %, 26 %, 35300 MiB, 118.25 W
2026/08/27 15:32:54.356, 2, 100 %, 28 %, 35296 MiB, 175.44 W
2026/08/27 15:32:59.356, 0, 100 %, 0 %, 35313 MiB, 73.80 W
2026/08/27 15:32:59.356, 1, 100 %, 0 %, 35302 MiB, 71.08 W
2026/08/27 15:32:59.356, 2, 100 %, 0 %, 35296 MiB, 74.46 W
2026/08/27 15:33:04.357, 0, 6 %, 0 %, 35313 MiB, 38.20 W
2026/08/27 15:33:04.358, 1, 13 %, 4 %, 35302 MiB, 37.48 W
2026/08/27 15:33:04.358, 2, 0 %, 0 %, 35296 MiB, 38.45 W
2026/08/27 15:33:09.359, 0, 10 %, 1 %, 35313 MiB, 37.90 W
2026/08/27 15:33:09.359, 1, 0 %, 0 %, 35302 MiB, 40.82 W
2026/08/27 15:33:09.360, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:33:14.360, 0, 8 %, 1 %, 35313 MiB, 38.08 W
2026/08/27 15:33:14.360, 1, 9 %, 1 %, 35302 MiB, 37.09 W
2026/08/27 15:33:14.360, 2, 0 %, 0 %, 35296 MiB, 38.33 W
2026/08/27 15:33:19.360, 0, 0 %, 0 %, 35313 MiB, 37.70 W
2026/08/27 15:33:19.360, 1, 4 %, 0 %, 35302 MiB, 40.04 W
2026/08/27 15:33:19.360, 2, 36 %, 9 %, 35296 MiB, 38.73 W
2026/08/27 15:33:24.361, 0, 0 %, 0 %, 35313 MiB, 37.81 W
2026/08/27 15:33:24.361, 1, 6 %, 4 %, 35302 MiB, 37.19 W
2026/08/27 15:33:24.361, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:33:29.361, 0, 0 %, 0 %, 35313 MiB, 37.50 W
2026/08/27 15:33:29.362, 1, 13 %, 6 %, 35302 MiB, 37.38 W
2026/08/27 15:33:29.362, 2, 10 %, 4 %, 35296 MiB, 38.04 W
2026/08/27 15:33:34.362, 0, 0 %, 0 %, 35313 MiB, 37.43 W
2026/08/27 15:33:34.362, 1, 0 %, 0 %, 35302 MiB, 37.10 W
2026/08/27 15:33:34.362, 2, 0 %, 0 %, 35298 MiB, 37.86 W
2026/08/27 15:33:39.363, 0, 100 %, 26 %, 35313 MiB, 77.10 W
2026/08/27 15:33:39.363, 1, 100 %, 25 %, 35306 MiB, 78.71 W
2026/08/27 15:33:39.363, 2, 100 %, 22 %, 35300 MiB, 157.38 W
2026/08/27 15:33:44.363, 0, 100 %, 27 %, 35313 MiB, 179.30 W
2026/08/27 15:33:44.364, 1, 100 %, 19 %, 35306 MiB, 76.59 W
2026/08/27 15:33:44.364, 2, 100 %, 25 %, 35300 MiB, 128.67 W
2026/08/27 15:33:49.365, 0, 100 %, 23 %, 35313 MiB, 180.00 W
2026/08/27 15:33:49.365, 1, 100 %, 17 %, 35306 MiB, 120.63 W
2026/08/27 15:33:49.365, 2, 100 %, 18 %, 35300 MiB, 80.00 W
2026/08/27 15:33:54.366, 0, 92 %, 9 %, 35313 MiB, 121.33 W
2026/08/27 15:33:54.366, 1, 28 %, 3 %, 35308 MiB, 122.08 W
2026/08/27 15:33:54.366, 2, 74 %, 4 %, 35302 MiB, 75.71 W
2026/08/27 15:33:59.367, 0, 100 %, 0 %, 35313 MiB, 74.65 W
2026/08/27 15:33:59.368, 1, 100 %, 0 %, 35308 MiB, 71.05 W
2026/08/27 15:33:59.368, 2, 100 %, 0 %, 35302 MiB, 75.26 W
2026/08/27 15:34:04.368, 0, 0 %, 0 %, 35313 MiB, 38.03 W
2026/08/27 15:34:04.368, 1, 0 %, 0 %, 35308 MiB, 38.43 W
2026/08/27 15:34:04.368, 2, 94 %, 43 %, 35304 MiB, 202.34 W
2026/08/27 15:34:09.369, 0, 0 %, 0 %, 35315 MiB, 37.99 W
2026/08/27 15:34:09.369, 1, 22 %, 9 %, 35310 MiB, 37.28 W
2026/08/27 15:34:09.369, 2, 0 %, 0 %, 35306 MiB, 38.23 W
2026/08/27 15:34:14.370, 0, 7 %, 1 %, 35315 MiB, 37.71 W
2026/08/27 15:34:14.370, 1, 8 %, 2 %, 35310 MiB, 36.99 W
2026/08/27 15:34:14.370, 2, 9 %, 0 %, 35306 MiB, 38.25 W
2026/08/27 15:34:19.378, 0, 0 %, 0 %, 35315 MiB, 38.00 W
2026/08/27 15:34:19.378, 1, 7 %, 0 %, 35310 MiB, 37.28 W
2026/08/27 15:34:19.378, 2, 0 %, 0 %, 35306 MiB, 38.25 W
2026/08/27 15:34:24.379, 0, 0 %, 0 %, 35315 MiB, 38.17 W
2026/08/27 15:34:24.380, 1, 14 %, 1 %, 35310 MiB, 38.45 W
2026/08/27 15:34:24.380, 2, 43 %, 5 %, 35306 MiB, 38.52 W
2026/08/27 15:34:29.380, 0, 0 %, 0 %, 35315 MiB, 37.70 W
2026/08/27 15:34:29.380, 1, 4 %, 3 %, 35310 MiB, 37.10 W
2026/08/27 15:34:29.380, 2, 8 %, 1 %, 35306 MiB, 45.08 W
2026/08/27 15:34:34.381, 0, 0 %, 0 %, 35315 MiB, 37.51 W
2026/08/27 15:34:34.381, 1, 7 %, 1 %, 35310 MiB, 37.00 W
2026/08/27 15:34:34.381, 2, 0 %, 0 %, 35306 MiB, 37.65 W
2026/08/27 15:34:39.382, 0, 0 %, 0 %, 35315 MiB, 37.33 W
2026/08/27 15:34:39.382, 1, 0 %, 0 %, 35310 MiB, 37.01 W
2026/08/27 15:34:39.382, 2, 0 %, 0 %, 35306 MiB, 37.78 W
2026/08/27 15:34:44.384, 0, 8 %, 1 %, 35315 MiB, 37.33 W
